startTime,settlementDate,settlementPeriod,GAS,OTHER
2021-06-28 23:00:00,2021-06-29,1,0.0,0.0
2021-06-28 23:30:00,2021-06-29,2,0.0,0.0
2021-06-29 00:00:00,2021-06-29,3,0.0,0.0
2021-06-29 00:30:00,2021-06-29,4,0.0,0.0
2021-06-29 01:00:00,2021-06-29,5,0.0,0.0
2021-06-29 01:30:00,2021-06-29,6,0.0,0.0
2021-06-29 02:00:00,2021-06-29,7,0.0,0.0
2021-06-29 02:30:00,2021-06-29,8,0.0,0.0
2021-06-29 03:00:00,2021-06-29,9,0.0,0.0
2021-06-29 03:30:00,2021-06-29,10,0.0,0.0
2021-06-29 04:00:00,2021-06-29,11,0.0,0.0
2021-06-29 04:30:00,2021-06-29,12,0.0,0.0
2021-06-29 05:00:00,2021-06-29,13,0.0,0.0
2021-06-29 05:30:00,2021-06-29,14,0.0,0.0
2021-06-29 06:00:00,2021-06-29,15,0.0,0.0
2021-06-29 06:30:00,2021-06-29,16,0.0,0.0
2021-06-29 07:00:00,2021-06-29,17,0.0,0.0
2021-06-29 07:30:00,2021-06-29,18,0.0,0.0
2021-06-29 08:00:00,2021-06-29,19,0.0,0.0
2021-06-29 08:30:00,2021-06-29,20,0.0,0.0
2021-06-29 09:00:00,2021-06-29,21,0.0,0.0
2021-06-29 09:30:00,2021-06-29,22,0.0,0.0
2021-06-29 10:00:00,2021-06-29,23,0.0,0.0
2021-06-29 10:30:00,2021-06-29,24,0.0,0.0
2021-06-29 11:00:00,2021-06-29,25,0.0,0.0
2021-06-29 11:30:00,2021-06-29,26,0.0,0.0
2021-06-29 12:00:00,2021-06-29,27,0.0,0.0
2021-06-29 12:30:00,2021-06-29,28,0.0,0.0
2021-06-29 13:00:00,2021-06-29,29,0.0,0.0
2021-06-29 13:30:00,2021-06-29,30,0.0,0.0
2021-06-29 14:00:00,2021-06-29,31,0.0,0.0
2021-06-29 14:30:00,2021-06-29,32,0.0,0.0
2021-06-29 15:00:00,2021-06-29,33,0.0,0.0
2021-06-29 15:30:00,2021-06-29,34,0.0,0.0
2021-06-29 16:00:00,2021-06-29,35,0.0,0.0
2021-06-29 16:30:00,2021-06-29,36,0.0,0.0
2021-06-29 17:00:00,2021-06-29,37,0.0,0.0
2021-06-29 17:30:00,2021-06-29,38,0.0,0.0
2021-06-29 18:00:00,2021-06-29,39,0.0,0.0
2021-06-29 18:30:00,2021-06-29,40,0.0,0.0
2021-06-29 19:00:00,2021-06-29,41,0.0,0.0
2021-06-29 19:30:00,2021-06-29,42,0.0,0.0
2021-06-29 20:00:00,2021-06-29,43,0.0,0.0
2021-06-29 20:30:00,2021-06-29,44,0.0,0.0
2021-06-29 21:00:00,2021-06-29,45,0.0,0.0
2021-06-29 21:30:00,2021-06-29,46,0.0,0.0
2021-06-29 22:00:00,2021-06-29,47,0.0,0.0
2021-06-29 22:30:00,2021-06-29,48,0.0,0.0
2021-06-29 23:00:00,2021-06-30,1,1784.264,59.7
2021-06-29 23:30:00,2021-06-30,2,2364.816,81.633
2021-06-30 00:00:00,2021-06-30,3,2051.983,0.0
2021-06-30 00:30:00,2021-06-30,4,1452.878,0.0
2021-06-30 01:00:00,2021-06-30,5,1495.033,0.0
2021-06-30 01:30:00,2021-06-30,6,2112.25,0.0
2021-06-30 02:00:00,2021-06-30,7,1773.494,-7.0
2021-06-30 02:30:00,2021-06-30,8,1643.552,-9.3
2021-06-30 03:00:00,2021-06-30,9,2038.621,-6.925
2021-06-30 03:30:00,2021-06-30,10,2848.332,0.0
2021-06-30 04:00:00,2021-06-30,11,1907.429,-13.433
2021-06-30 04:30:00,2021-06-30,12,2014.707,784.908
2021-06-30 05:00:00,2021-06-30,13,3648.854,1050.409
2021-06-30 05:30:00,2021-06-30,14,2317.093,477.867
2021-06-30 06:00:00,2021-06-30,15,3009.578,260.787
2021-06-30 06:30:00,2021-06-30,16,3663.488,128.602
2021-06-30 07:00:00,2021-06-30,17,3554.513,190.286
2021-06-30 07:30:00,2021-06-30,18,2559.589,291.136
2021-06-30 08:00:00,2021-06-30,19,2728.272,199.976
2021-06-30 08:30:00,2021-06-30,20,3576.457,130.818
2021-06-30 09:00:00,2021-06-30,21,4445.922,331.195
2021-06-30 09:30:00,2021-06-30,22,4284.981,251.647
2021-06-30 10:00:00,2021-06-30,23,4758.175,244.603
2021-06-30 10:30:00,2021-06-30,24,4502.621,210.475
2021-06-30 11:00:00,2021-06-30,25,3546.16,147.125
2021-06-30 11:30:00,2021-06-30,26,4613.279,1106.588
2021-06-30 12:00:00,2021-06-30,27,2946.348,470.579
2021-06-30 12:30:00,2021-06-30,28,2847.436,226.55
2021-06-30 13:00:00,2021-06-30,29,3198.803,451.522
2021-06-30 13:30:00,2021-06-30,30,1847.871,764.536
2021-06-30 14:00:00,2021-06-30,31,3010.82,315.576
2021-06-30 14:30:00,2021-06-30,32,3003.943,181.207
2021-06-30 15:00:00,2021-06-30,33,3644.675,-15.717
2021-06-30 15:30:00,2021-06-30,34,2800.064,78.433
2021-06-30 16:00:00,2021-06-30,35,2783.677,97.675
2021-06-30 16:30:00,2021-06-30,36,2258.568,216.208
2021-06-30 17:00:00,2021-06-30,37,2086.984,289.408
2021-06-30 17:30:00,2021-06-30,38,2844.777,183.633
2021-06-30 18:00:00,2021-06-30,39,3369.767,242.417
2021-06-30 18:30:00,2021-06-30,40,2608.718,189.639
2021-06-30 19:00:00,2021-06-30,41,2284.055,269.286
2021-06-30 19:30:00,2021-06-30,42,2608.991,108.517
2021-06-30 20:00:00,2021-06-30,43,2573.468,254.108
2021-06-30 20:30:00,2021-06-30,44,3529.065,304.6
2021-06-30 21:00:00,2021-06-30,45,3026.777,397.458
2021-06-30 21:30:00,2021-06-30,46,2621.572,170.208
2021-06-30 22:00:00,2021-06-30,47,3974.762,127.225
2021-06-30 22:30:00,2021-06-30,48,3015.711,0.0
2021-06-30 23:00:00,2021-07-01,1,2244.144,152.5
2021-06-30 23:30:00,2021-07-01,2,2821.134,82.25
2021-07-01 00:00:00,2021-07-01,3,3115.811,61.367
2021-07-01 00:30:00,2021-07-01,4,2960.106,57.45
2021-07-01 01:00:00,2021-07-01,5,2481.5,0.0
2021-07-01 01:30:00,2021-07-01,6,2175.138,0.0
2021-07-01 02:00:00,2021-07-01,7,2026.506,0.0
2021-07-01 02:30:00,2021-07-01,8,1647.99,0.0
2021-07-01 03:00:00,2021-07-01,9,1505.94,0.0
2021-07-01 03:30:00,2021-07-01,10,783.925,0.0
2021-07-01 04:00:00,2021-07-01,11,1778.287,22.533
2021-07-01 04:30:00,2021-07-01,12,1932.292,79.917
2021-07-01 05:00:00,2021-07-01,13,2794.175,108.9
2021-07-01 05:30:00,2021-07-01,14,1738.997,88.167
2021-07-01 06:00:00,2021-07-01,15,1955.071,11.596
2021-07-01 06:30:00,2021-07-01,16,2459.835,208.056
2021-07-01 07:00:00,2021-07-01,17,3403.246,399.646
2021-07-01 07:30:00,2021-07-01,18,4122.393,188.717
2021-07-01 08:00:00,2021-07-01,19,3605.472,300.868
2021-07-01 08:30:00,2021-07-01,20,3709.063,293.188
2021-07-01 09:00:00,2021-07-01,21,3365.183,348.987
2021-07-01 09:30:00,2021-07-01,22,2861.324,85.667
2021-07-01 10:00:00,2021-07-01,23,2875.983,109.256
2021-07-01 10:30:00,2021-07-01,24,3991.186,51.717
2021-07-01 11:00:00,2021-07-01,25,3802.735,188.608
2021-07-01 11:30:00,2021-07-01,26,4187.906,209.429
2021-07-01 12:00:00,2021-07-01,27,2893.454,347.708
2021-07-01 12:30:00,2021-07-01,28,2615.637,497.167
2021-07-01 13:00:00,2021-07-01,29,2685.525,73.333
2021-07-01 13:30:00,2021-07-01,30,2606.49,0.0
2021-07-01 14:00:00,2021-07-01,31,5044.942,-15.608
2021-07-01 14:30:00,2021-07-01,32,3707.736,-30.125
2021-07-01 15:00:00,2021-07-01,33,2964.329,-118.517
2021-07-01 15:30:00,2021-07-01,34,2776.261,59.767
2021-07-01 16:00:00,2021-07-01,35,3260.522,217.792
2021-07-01 16:30:00,2021-07-01,36,2638.051,69.036
2021-07-01 17:00:00,2021-07-01,37,2988.439,170.386
2021-07-01 17:30:00,2021-07-01,38,2387.596,373.261
2021-07-01 18:00:00,2021-07-01,39,3351.667,530.455
2021-07-01 18:30:00,2021-07-01,40,3248.2,224.229
2021-07-01 19:00:00,2021-07-01,41,3327.028,288.308
2021-07-01 19:30:00,2021-07-01,42,3401.932,255.336
2021-07-01 20:00:00,2021-07-01,43,3102.615,511.689
2021-07-01 20:30:00,2021-07-01,44,3162.842,277.475
2021-07-01 21:00:00,2021-07-01,45,3577.218,519.696
2021-07-01 21:30:00,2021-07-01,46,3156.151,663.76
2021-07-01 22:00:00,2021-07-01,47,4108.994,768.974
2021-07-01 22:30:00,2021-07-01,48,3535.763,570.367
2021-07-01 23:00:00,2021-07-02,1,3282.02,612.318
2021-07-01 23:30:00,2021-07-02,2,2478.559,864.964
2021-07-02 00:00:00,2021-07-02,3,1591.821,400.203
2021-07-02 00:30:00,2021-07-02,4,1837.036,21.194
2021-07-02 01:00:00,2021-07-02,5,1604.729,-23.917
2021-07-02 01:30:00,2021-07-02,6,2491.383,0.0
2021-07-02 02:00:00,2021-07-02,7,2658.552,0.0
2021-07-02 02:30:00,2021-07-02,8,2519.907,-9.567
2021-07-02 03:00:00,2021-07-02,9,2306.186,-7.175
2021-07-02 03:30:00,2021-07-02,10,1926.481,47.004
2021-07-02 04:00:00,2021-07-02,11,2093.067,647.958
2021-07-02 04:30:00,2021-07-02,12,1747.923,1261.354
2021-07-02 05:00:00,2021-07-02,13,3439.833,1508.66
2021-07-02 05:30:00,2021-07-02,14,3859.938,1509.759
2021-07-02 06:00:00,2021-07-02,15,3338.288,1241.296
2021-07-02 06:30:00,2021-07-02,16,5182.956,1096.844
2021-07-02 07:00:00,2021-07-02,17,4844.365,1023.433
2021-07-02 07:30:00,2021-07-02,18,5534.329,665.946
2021-07-02 08:00:00,2021-07-02,19,4780.446,492.753
2021-07-02 08:30:00,2021-07-02,20,4944.037,488.734
2021-07-02 09:00:00,2021-07-02,21,5506.252,320.456
2021-07-02 09:30:00,2021-07-02,22,4306.686,182.265
2021-07-02 10:00:00,2021-07-02,23,4433.246,163.882
2021-07-02 10:30:00,2021-07-02,24,3952.914,112.38
2021-07-02 11:00:00,2021-07-02,25,3668.88,195.347
2021-07-02 11:30:00,2021-07-02,26,3961.239,189.429
2021-07-02 12:00:00,2021-07-02,27,4549.025,263.983
2021-07-02 12:30:00,2021-07-02,28,3932.477,648.308
2021-07-02 13:00:00,2021-07-02,29,2274.192,615.567
2021-07-02 13:30:00,2021-07-02,30,1754.1,430.296
2021-07-02 14:00:00,2021-07-02,31,3168.415,352.821
2021-07-02 14:30:00,2021-07-02,32,2670.488,291.608
2021-07-02 15:00:00,2021-07-02,33,2088.818,347.775
2021-07-02 15:30:00,2021-07-02,34,2997.602,474.936
2021-07-02 16:00:00,2021-07-02,35,3590.627,563.94
2021-07-02 16:30:00,2021-07-02,36,3672.571,927.688
2021-07-02 17:00:00,2021-07-02,37,3397.94,809.795
2021-07-02 17:30:00,2021-07-02,38,2451.164,816.31
2021-07-02 18:00:00,2021-07-02,39,2925.991,828.351
2021-07-02 18:30:00,2021-07-02,40,2771.563,385.797
2021-07-02 19:00:00,2021-07-02,41,2558.769,383.258
2021-07-02 19:30:00,2021-07-02,42,2521.172,290.942
2021-07-02 20:00:00,2021-07-02,43,1562.292,346.4
2021-07-02 20:30:00,2021-07-02,44,3317.222,210.783
2021-07-02 21:00:00,2021-07-02,45,4826.491,674.458
2021-07-02 21:30:00,2021-07-02,46,3587.127,1043.593
2021-07-02 22:00:00,2021-07-02,47,4402.27,1477.957
2021-07-02 22:30:00,2021-07-02,48,3607.831,1524.961
2021-07-02 23:00:00,2021-07-03,1,3751.808,1602.994
2021-07-02 23:30:00,2021-07-03,2,3068.336,1196.827
2021-07-03 00:00:00,2021-07-03,3,3827.674,1441.777
2021-07-03 00:30:00,2021-07-03,4,4082.016,1039.833
2021-07-03 01:00:00,2021-07-03,5,4260.369,1150.208
2021-07-03 01:30:00,2021-07-03,6,3220.555,945.908
2021-07-03 02:00:00,2021-07-03,7,4173.495,1407.033
2021-07-03 02:30:00,2021-07-03,8,3707.445,1035.333
2021-07-03 03:00:00,2021-07-03,9,4184.785,995.75
2021-07-03 03:30:00,2021-07-03,10,3607.455,681.058
2021-07-03 04:00:00,2021-07-03,11,4002.614,1051.133
2021-07-03 04:30:00,2021-07-03,12,4159.223,1381.183
2021-07-03 05:00:00,2021-07-03,13,3875.993,1594.583
2021-07-03 05:30:00,2021-07-03,14,4321.759,2210.925
2021-07-03 06:00:00,2021-07-03,15,4503.568,1623.717
2021-07-03 06:30:00,2021-07-03,16,5075.741,1239.808
2021-07-03 07:00:00,2021-07-03,17,4140.637,980.125
2021-07-03 07:30:00,2021-07-03,18,3622.659,768.167
2021-07-03 08:00:00,2021-07-03,19,2840.289,730.008
2021-07-03 08:30:00,2021-07-03,20,2920.081,973.621
2021-07-03 09:00:00,2021-07-03,21,3286.086,1339.649
2021-07-03 09:30:00,2021-07-03,22,3161.819,1623.402
2021-07-03 10:00:00,2021-07-03,23,3278.793,1057.658
2021-07-03 10:30:00,2021-07-03,24,3403.471,1026.057
2021-07-03 11:00:00,2021-07-03,25,3958.325,938.542
2021-07-03 11:30:00,2021-07-03,26,4025.304,656.701
2021-07-03 12:00:00,2021-07-03,27,2186.813,100.254
2021-07-03 12:30:00,2021-07-03,28,2231.856,117.167
2021-07-03 13:00:00,2021-07-03,29,2265.094,111.092
2021-07-03 13:30:00,2021-07-03,30,2590.425,251.833
2021-07-03 14:00:00,2021-07-03,31,1800.742,135.833
2021-07-03 14:30:00,2021-07-03,32,1576.957,111.092
2021-07-03 15:00:00,2021-07-03,33,2997.302,15.525
2021-07-03 15:30:00,2021-07-03,34,4711.699,9.008
2021-07-03 16:00:00,2021-07-03,35,4162.46,69.833
2021-07-03 16:30:00,2021-07-03,36,2569.835,448.785
2021-07-03 17:00:00,2021-07-03,37,3672.422,456.776
2021-07-03 17:30:00,2021-07-03,38,3632.108,708.439
2021-07-03 18:00:00,2021-07-03,39,2991.383,982.658
2021-07-03 18:30:00,2021-07-03,40,3966.077,1275.997
2021-07-03 19:00:00,2021-07-03,41,6036.807,1113.093
2021-07-03 19:30:00,2021-07-03,42,5998.496,721.068
2021-07-03 20:00:00,2021-07-03,43,6200.329,501.667
2021-07-03 20:30:00,2021-07-03,44,4271.913,300.683
2021-07-03 21:00:00,2021-07-03,45,3212.746,298.717
2021-07-03 21:30:00,2021-07-03,46,3445.104,137.25
2021-07-03 22:00:00,2021-07-03,47,3296.17,598.649
2021-07-03 22:30:00,2021-07-03,48,3462.319,465.001
2021-07-03 23:00:00,2021-07-04,1,4112.762,9.164
2021-07-03 23:30:00,2021-07-04,2,4457.444,78.078
2021-07-04 00:00:00,2021-07-04,3,3588.067,250.883
2021-07-04 00:30:00,2021-07-04,4,3557.942,606.167
2021-07-04 01:00:00,2021-07-04,5,3097.249,251.083
2021-07-04 01:30:00,2021-07-04,6,2066.306,229.125
2021-07-04 02:00:00,2021-07-04,7,2270.714,93.667
2021-07-04 02:30:00,2021-07-04,8,3266.785,0.0
2021-07-04 03:00:00,2021-07-04,9,3491.364,0.0
2021-07-04 03:30:00,2021-07-04,10,3509.061,0.0
2021-07-04 04:00:00,2021-07-04,11,3856.902,0.0
2021-07-04 04:30:00,2021-07-04,12,3595.612,2.083
2021-07-04 05:00:00,2021-07-04,13,3316.91,88.0
2021-07-04 05:30:00,2021-07-04,14,2816.683,112.417
2021-07-04 06:00:00,2021-07-04,15,3654.417,901.198
2021-07-04 06:30:00,2021-07-04,16,1852.733,1362.76
2021-07-04 07:00:00,2021-07-04,17,1783.606,1391.335
2021-07-04 07:30:00,2021-07-04,18,1584.957,1200.986
2021-07-04 08:00:00,2021-07-04,19,2583.766,605.604
2021-07-04 08:30:00,2021-07-04,20,2263.711,184.412
2021-07-04 09:00:00,2021-07-04,21,1851.331,1152.439
2021-07-04 09:30:00,2021-07-04,22,1755.424,877.207
2021-07-04 10:00:00,2021-07-04,23,2951.819,764.779
2021-07-04 10:30:00,2021-07-04,24,4192.274,369.421
2021-07-04 11:00:00,2021-07-04,25,3862.595,285.967
2021-07-04 11:30:00,2021-07-04,26,3034.738,174.3
2021-07-04 12:00:00,2021-07-04,27,2129.771,461.105
2021-07-04 12:30:00,2021-07-04,28,1032.348,491.123
2021-07-04 13:00:00,2021-07-04,29,1733.894,411.556
2021-07-04 13:30:00,2021-07-04,30,1858.433,64.692
2021-07-04 14:00:00,2021-07-04,31,2633.612,518.15
2021-07-04 14:30:00,2021-07-04,32,2891.988,1160.469
2021-07-04 15:00:00,2021-07-04,33,4191.258,1362.687
2021-07-04 15:30:00,2021-07-04,34,3530.319,1025.66
2021-07-04 16:00:00,2021-07-04,35,4340.551,971.384
2021-07-04 16:30:00,2021-07-04,36,3649.246,1493.484
2021-07-04 17:00:00,2021-07-04,37,3750.467,1752.814
2021-07-04 17:30:00,2021-07-04,38,2830.006,1459.238
2021-07-04 18:00:00,2021-07-04,39,2641.893,1157.761
2021-07-04 18:30:00,2021-07-04,40,3890.77,1201.034
2021-07-04 19:00:00,2021-07-04,41,2976.307,1289.874
2021-07-04 19:30:00,2021-07-04,42,3066.869,655.838
2021-07-04 20:00:00,2021-07-04,43,2593.202,375.41
2021-07-04 20:30:00,2021-07-04,44,3847.033,180.838
2021-07-04 21:00:00,2021-07-04,45,3826.748,285.296
2021-07-04 21:30:00,2021-07-04,46,4677.073,935.801
2021-07-04 22:00:00,2021-07-04,47,3796.768,866.486
2021-07-04 22:30:00,2021-07-04,48,4523.645,764.917
2021-07-04 23:00:00,2021-07-05,1,3719.555,895.833
2021-07-04 23:30:00,2021-07-05,2,2687.684,889.592
2021-07-05 00:00:00,2021-07-05,3,4350.995,1106.05
2021-07-05 00:30:00,2021-07-05,4,3398.236,976.7
2021-07-05 01:00:00,2021-07-05,5,1943.651,416.342
2021-07-05 01:30:00,2021-07-05,6,2648.576,0.0
2021-07-05 02:00:00,2021-07-05,7,3277.511,0.0
2021-07-05 02:30:00,2021-07-05,8,2057.245,0.0
2021-07-05 03:00:00,2021-07-05,9,1865.679,0.0
2021-07-05 03:30:00,2021-07-05,10,1288.92,386.907
2021-07-05 04:00:00,2021-07-05,11,1552.451,908.795
2021-07-05 04:30:00,2021-07-05,12,2363.492,372.279
2021-07-05 05:00:00,2021-07-05,13,2385.495,622.228
2021-07-05 05:30:00,2021-07-05,14,1723.306,99.708
2021-07-05 06:00:00,2021-07-05,15,3841.531,233.125
2021-07-05 06:30:00,2021-07-05,16,2818.941,110.75
2021-07-05 07:00:00,2021-07-05,17,3409.512,119.5
2021-07-05 07:30:00,2021-07-05,18,3464.453,108.75
2021-07-05 08:00:00,2021-07-05,19,2448.056,105.0
2021-07-05 08:30:00,2021-07-05,20,2088.8,163.75
2021-07-05 09:00:00,2021-07-05,21,1783.308,158.333
2021-07-05 09:30:00,2021-07-05,22,3683.232,455.333
2021-07-05 10:00:00,2021-07-05,23,3372.018,446.328
2021-07-05 10:30:00,2021-07-05,24,3337.125,361.13
2021-07-05 11:00:00,2021-07-05,25,3014.75,423.149
2021-07-05 11:30:00,2021-07-05,26,3265.333,479.559
2021-07-05 12:00:00,2021-07-05,27,4127.389,51.708
2021-07-05 12:30:00,2021-07-05,28,4087.686,0.458
2021-07-05 13:00:00,2021-07-05,29,4938.278,101.35
2021-07-05 13:30:00,2021-07-05,30,2617.891,75.8
2021-07-05 14:00:00,2021-07-05,31,3143.7,-11.525
2021-07-05 14:30:00,2021-07-05,32,3368.726,91.673
2021-07-05 15:00:00,2021-07-05,33,3673.99,199.782
2021-07-05 15:30:00,2021-07-05,34,4364.6,384.169
2021-07-05 16:00:00,2021-07-05,35,3764.54,459.083
2021-07-05 16:30:00,2021-07-05,36,3096.102,540.889
2021-07-05 17:00:00,2021-07-05,37,2868.198,474.517
2021-07-05 17:30:00,2021-07-05,38,3053.128,567.652
2021-07-05 18:00:00,2021-07-05,39,3713.472,589.409
2021-07-05 18:30:00,2021-07-05,40,4391.992,281.757
2021-07-05 19:00:00,2021-07-05,41,3802.492,193.242
2021-07-05 19:30:00,2021-07-05,42,4826.529,221.217
2021-07-05 20:00:00,2021-07-05,43,3484.671,270.95
2021-07-05 20:30:00,2021-07-05,44,4258.526,432.917
2021-07-05 21:00:00,2021-07-05,45,3666.519,764.833
2021-07-05 21:30:00,2021-07-05,46,4049.385,667.258
2021-07-05 22:00:00,2021-07-05,47,2571.632,673.25
2021-07-05 22:30:00,2021-07-05,48,2347.399,584.5
2021-07-05 23:00:00,2021-07-06,1,2737.921,745.5
2021-07-05 23:30:00,2021-07-06,2,2826.967,460.125
2021-07-06 00:00:00,2021-07-06,3,3277.044,665.25
2021-07-06 00:30:00,2021-07-06,4,3851.477,787.989
2021-07-06 01:00:00,2021-07-06,5,2695.582,576.828
2021-07-06 01:30:00,2021-07-06,6,2548.664,331.617
2021-07-06 02:00:00,2021-07-06,7,2172.185,55.9
2021-07-06 02:30:00,2021-07-06,8,2327.912,35.267
2021-07-06 03:00:00,2021-07-06,9,1902.279,0.0
2021-07-06 03:30:00,2021-07-06,10,1494.367,0.0
2021-07-06 04:00:00,2021-07-06,11,1136.6,-0.517
2021-07-06 04:30:00,2021-07-06,12,1513.675,-28.608
2021-07-06 05:00:00,2021-07-06,13,1775.467,-11.458
2021-07-06 05:30:00,2021-07-06,14,2110.833,27.5
2021-07-06 06:00:00,2021-07-06,15,3480.093,298.821
2021-07-06 06:30:00,2021-07-06,16,3279.533,486.383
2021-07-06 07:00:00,2021-07-06,17,3602.067,986.52
2021-07-06 07:30:00,2021-07-06,18,3443.572,261.193
2021-07-06 08:00:00,2021-07-06,19,2696.836,306.872
2021-07-06 08:30:00,2021-07-06,20,1681.894,347.007
2021-07-06 09:00:00,2021-07-06,21,761.075,240.94
2021-07-06 09:30:00,2021-07-06,22,893.02,223.896
2021-07-06 10:00:00,2021-07-06,23,928.733,332.517
2021-07-06 10:30:00,2021-07-06,24,1234.604,363.552
2021-07-06 11:00:00,2021-07-06,25,1355.626,397.367
2021-07-06 11:30:00,2021-07-06,26,1305.658,267.048
2021-07-06 12:00:00,2021-07-06,27,1715.916,359.777
2021-07-06 12:30:00,2021-07-06,28,1636.656,520.333
2021-07-06 13:00:00,2021-07-06,29,1979.992,1141.304
2021-07-06 13:30:00,2021-07-06,30,1870.351,1262.072
2021-07-06 14:00:00,2021-07-06,31,1702.065,874.124
2021-07-06 14:30:00,2021-07-06,32,1604.488,1451.789
2021-07-06 15:00:00,2021-07-06,33,779.406,1288.511
2021-07-06 15:30:00,2021-07-06,34,1329.253,1517.331
2021-07-06 16:00:00,2021-07-06,35,1927.761,599.863
2021-07-06 16:30:00,2021-07-06,36,2436.392,839.783
2021-07-06 17:00:00,2021-07-06,37,3511.676,1496.521
2021-07-06 17:30:00,2021-07-06,38,2235.962,963.043
2021-07-06 18:00:00,2021-07-06,39,2382.693,788.042
2021-07-06 18:30:00,2021-07-06,40,2072.966,943.598
2021-07-06 19:00:00,2021-07-06,41,2422.482,954.955
2021-07-06 19:30:00,2021-07-06,42,1761.86,812.203
2021-07-06 20:00:00,2021-07-06,43,1456.59,804.815
2021-07-06 20:30:00,2021-07-06,44,2208.727,828.162
2021-07-06 21:00:00,2021-07-06,45,2770.09,579.95
2021-07-06 21:30:00,2021-07-06,46,3106.41,271.017
2021-07-06 22:00:00,2021-07-06,47,2263.664,121.975
2021-07-06 22:30:00,2021-07-06,48,1651.166,101.458
2021-07-06 23:00:00,2021-07-07,1,2642.365,135.833
2021-07-06 23:30:00,2021-07-07,2,2934.406,55.1
2021-07-07 00:00:00,2021-07-07,3,1586.874,-123.492
2021-07-07 00:30:00,2021-07-07,4,1141.133,-243.175
2021-07-07 01:00:00,2021-07-07,5,1524.929,-240.517
2021-07-07 01:30:00,2021-07-07,6,1181.271,-171.467
2021-07-07 02:00:00,2021-07-07,7,1142.875,-56.5
2021-07-07 02:30:00,2021-07-07,8,1197.875,-57.442
2021-07-07 03:00:00,2021-07-07,9,1214.375,-63.092
2021-07-07 03:30:00,2021-07-07,10,1262.25,-56.5
2021-07-07 04:00:00,2021-07-07,11,1288.946,-5.333
2021-07-07 04:30:00,2021-07-07,12,1901.89,-2.583
2021-07-07 05:00:00,2021-07-07,13,2615.123,-21.517
2021-07-07 05:30:00,2021-07-07,14,2818.425,81.538
2021-07-07 06:00:00,2021-07-07,15,3072.797,1072.521
2021-07-07 06:30:00,2021-07-07,16,1860.183,1627.945
2021-07-07 07:00:00,2021-07-07,17,1927.124,1045.486
2021-07-07 07:30:00,2021-07-07,18,1372.444,1234.762
2021-07-07 08:00:00,2021-07-07,19,2123.56,700.105
2021-07-07 08:30:00,2021-07-07,20,3252.184,417.211
2021-07-07 09:00:00,2021-07-07,21,4057.942,303.807
2021-07-07 09:30:00,2021-07-07,22,3299.918,302.083
2021-07-07 10:00:00,2021-07-07,23,4623.414,450.175
2021-07-07 10:30:00,2021-07-07,24,2276.427,358.458
2021-07-07 11:00:00,2021-07-07,25,2707.63,178.475
2021-07-07 11:30:00,2021-07-07,26,2991.525,98.3
2021-07-07 12:00:00,2021-07-07,27,3577.216,536.548
2021-07-07 12:30:00,2021-07-07,28,3665.535,751.403
2021-07-07 13:00:00,2021-07-07,29,3054.986,537.683
2021-07-07 13:30:00,2021-07-07,30,2581.875,103.575
2021-07-07 14:00:00,2021-07-07,31,2408.988,232.707
2021-07-07 14:30:00,2021-07-07,32,1844.197,693.513
2021-07-07 15:00:00,2021-07-07,33,2137.031,850.692
2021-07-07 15:30:00,2021-07-07,34,1700.447,831.793
2021-07-07 16:00:00,2021-07-07,35,1804.225,1131.54
2021-07-07 16:30:00,2021-07-07,36,2888.105,1001.427
2021-07-07 17:00:00,2021-07-07,37,2750.948,743.798
2021-07-07 17:30:00,2021-07-07,38,2545.472,418.793
2021-07-07 18:00:00,2021-07-07,39,3396.103,177.704
2021-07-07 18:30:00,2021-07-07,40,6089.428,289.2
2021-07-07 19:00:00,2021-07-07,41,6241.732,784.167
2021-07-07 19:30:00,2021-07-07,42,6275.008,1283.838
2021-07-07 20:00:00,2021-07-07,43,5569.924,824.856
2021-07-07 20:30:00,2021-07-07,44,7052.429,933.872
2021-07-07 21:00:00,2021-07-07,45,6117.526,306.917
2021-07-07 21:30:00,2021-07-07,46,5759.642,358.783
2021-07-07 22:00:00,2021-07-07,47,3173.1,232.833
2021-07-07 22:30:00,2021-07-07,48,2252.181,134.442
2021-07-07 23:00:00,2021-07-08,1,1953.357,55.833
2021-07-07 23:30:00,2021-07-08,2,1378.363,0.0
2021-07-08 00:00:00,2021-07-08,3,980.035,0.0
